id,card_id,user_id,card_number,exp_month,exp_year,customer_id,email,address_city,address_country,address_state,address_zip,name_on_card,DBSCAN,IsolationForest,Autoencoder,Autoencoder_Error
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,8267,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,USA,California,16958,Robert Davis,1,1,0,1.0964526918349387
2866,c3d5821d-dbb0-4255-bc2b-8caea6e720a4,9498,4813812608602899,1,2025,97956035-5a5f-478e-ad05-3036f6e714a1,robert1166@example.com,New York,USA,California,16958,Robert Davis,1,1,0,1.0964526918349387
2882,6b926a25-afdd-436d-9cde-c1cb3f489c29,6214,4764140898040585,6,2027,19c59b3f-6254-410d-8402-d312807c10f9,james1539@example.com,Phoenix,USA,California,71413,James Davis,1,0,0,0.8620498648797787
2882,6b926a25-afdd-436d-9cde-c1cb3f489c29,5391,4764140898040585,6,2027,19c59b3f-6254-410d-8402-d312807c10f9,james1539@example.com,Phoenix,USA,California,71413,James Davis,1,0,0,0.8620498648797787
2897,fc407652-4d72-499f-8000-1df000e922ab,6766,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,USA,California,76319,Michael Williams,1,1,1,1.1988934227228427
2897,fc407652-4d72-499f-8000-1df000e922ab,9794,6670993780143589,2,2023,d44d2190-64c1-4bcd-82de-c8b54c752af2,michael6078@example.com,Houston,USA,California,76319,Michael Williams,1,1,1,1.1988934227228427
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,9844,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,USA,Texas,58859,James Garcia,1,1,1,1.5245600044338818
2918,67193370-e29f-4bba-ae4c-3aa2ca9c7537,8210,6420243823889264,8,2029,51cf3bd1-0bdd-4459-b95f-346ab446802b,james9882@example.com,Phoenix,USA,Texas,58859,James Garcia,1,1,1,1.5245600044338818
2927,cecb51c3-7657-4658-934a-8c93a13b5ce2,3698,6605270698785954,3,2029,927fd663-9ec6-44e6-a489-e790e2d99487,robert5742@example.com,Chicago,USA,New York,94670,Robert Rodriguez,1,0,0,0.9745394005120595
2927,cecb51c3-7657-4658-934a-8c93a13b5ce2,7128,6605270698785954,3,2029,927fd663-9ec6-44e6-a489-e790e2d99487,robert5742@example.com,Chicago,USA,New York,94670,Robert Rodriguez,1,0,0,0.9745394005120595
